FrameNumber,ObjectID,X,Y,Width,Height,Confidence,Class
1,12,1516,510,60,181,,
1,11,1607,544,56,168,,
1,10,1364,489,42,128,,
1,9,540,546,31,97,,
1,8,1529,561,39,119,,
1,7,1431,401,60,181,,
1,6,1484,518,25,78,,
1,5,121,695,41,128,,
1,4,191,571,51,157,,
1,3,502,544,34,103,,
1,2,264,581,52,157,,
1,1,1617,553,39,119,,
2,16,961,927,42,127,,
2,15,616,508,24,73,,
2,14,483,493,48,147,,
2,13,1308,446,21,64,,
2,11,1613,510,60,181,,
2,10,1368,505,40,118,,
2,9,544,549,26,79,,
2,8,1529,561,39,119,,
2,7,1430,390,64,194,,
2,6,1489,518,25,78,,
2,5,112,689,40,118,,
2,4,180,560,52,157,,
2,3,501,533,31,97,,
2,2,267,579,45,137,,
2,1,1621,549,42,128,,
3,19,1249,441,39,119,,
3,18,1201,801,39,119,,
3,17,1449,465,39,119,,
3,14,498,541,42,127,,
3,11,1625,496,60,183,,
3,10,1379,516,34,104,,
3,8,1536,553,39,119,,
3,7,1442,387,61,185,,
3,6,1494,513,26,78,,
3,5,104,711,41,125,,
3,4,170,576,55,167,,
3,3,503,551,30,89,,
3,2,251,580,53,161,,
3,1,1632,551,40,122,,
4,11,1627,492,63,193,,
4,10,1386,510,36,111,,
4,8,1544,558,39,119,,
4,7,1438,378,67,202,,
4,6,1502,512,24,74,,
4,5,89,715,40,120,,
4,4,159,579,56,170,,
4,3,502,550,30,92,,
4,2,228,586,69,208,,
4,1,1639,550,41,126,,
5,11,1627,501,64,196,,
5,10,1384,509,40,121,,
5,8,1552,566,39,119,,
5,7,1442,385,66,200,,
5,6,1506,515,26,80,,
5,5,74,709,39,119,,
5,4,148,570,56,171,,
5,3,496,544,31,94,,
5,1,1648,564,40,122,,
6,11,1645,537,61,184,,
6,8,1561,574,41,124,,
6,7,1452,403,63,191,,
6,6,1510,524,26,80,,
6,5,64,719,38,118,,
6,4,145,577,54,165,,
6,3,495,550,32,99,,
6,1,1656,574,40,120,,
7,22,519,490,50,153,,
7,21,28,712,49,149,,
7,20,235,605,51,157,,
7,18,1215,838,51,153,,
7,8,1568,576,40,122,,
7,7,1452,396,66,201,,
7,5,52,723,40,122,,
7,4,136,578,55,168,,
7,3,495,547,33,101,,
7,1,1659,562,44,135,,
8,23,1765,445,125,379,,
8,22,517,494,52,157,,
8,20,222,613,48,146,,
8,18,1221,854,50,153,,
8,8,1578,583,41,125,,
8,7,1451,394,71,212,,
8,5,35,734,39,120,,
8,4,126,586,55,169,,
8,3,495,550,33,103,,
8,1,1666,571,46,141,,
9,23,1761,430,133,402,,
9,22,517,495,52,159,,
9,20,216,613,48,147,,
9,8,1585,590,40,123,,
9,7,1450,400,71,213,,
9,5,18,738,39,119,,
9,4,115,581,55,170,,
9,3,492,550,31,98,,
9,1,1673,577,46,141,,
10,20,207,606,49,147,,
10,8,1589,599,41,126,,
10,7,1459,412,71,213,,
10,6,1523,549,25,77,,
10,5,2,729,40,123,,
10,4,103,572,56,169,,
10,3,489,548,31,97,,
10,1,1680,592,45,137,,
11,34,176,530,81,246,,
11,33,1401,524,39,119,,
11,20,197,594,54,163,,
11,8,1593,595,41,124,,
11,7,1457,404,69,207,,
11,4,92,583,56,170,,
11,3,488,552,31,96,,
11,1,1690,585,45,138,,
12,34,170,529,86,258,,
12,33,1407,527,39,119,,
12,20,185,587,57,174,,
12,8,1600,594,43,129,,
12,7,1462,405,69,208,,
12,4,80,587,56,170,,
12,1,1697,589,45,136,,
13,34,184,541,79,239,,
13,33,1409,522,39,119,,
13,20,172,576,59,179,,
13,8,1608,598,41,126,,
13,7,1467,402,67,204,,
13,4,65,578,57,175,,
13,1,1702,590,45,137,,
14,33,1409,520,39,119,,
14,20,167,575,64,193,,
14,8,1613,595,42,127,,
14,4,51,574,58,178,,
14,1,1710,584,45,138,,
15,45,1490,520,24,74,,
15,33,1409,520,39,119,,
15,20,157,577,63,191,,
15,8,1621,594,42,128,,
15,4,40,575,61,185,,
15,3,481,544,33,102,,
15,1,1718,588,45,138,,
16,45,1494,522,26,78,,
16,33,1415,525,39,119,,
16,20,143,574,66,201,,
16,8,1629,599,42,128,,
16,4,28,575,62,189,,
16,3,479,543,32,99,,
16,1,1725,586,47,141,,
17,48,516,546,35,107,,
17,33,1417,527,39,119,,
17,20,122,579,67,201,,
17,8,1633,599,41,126,,
17,4,15,582,63,192,,
17,3,475,544,33,101,,
17,1,1734,584,47,145,,
18,48,515,544,35,105,,
18,33,1423,532,40,122,,
18,8,1644,601,42,127,,
18,4,10,585,64,194,,
18,3,474,542,35,107,,
18,1,1743,590,48,146,,
19,48,515,545,36,109,,
19,33,1425,529,39,122,,
19,8,1654,602,42,127,,
19,4,0,585,64,196,,
19,3,473,540,36,112,,
19,1,1753,594,48,144,,
20,48,510,548,35,107,,
20,33,1425,528,40,121,,
20,3,468,541,36,109,,
20,1,1763,596,47,142,,
21,48,508,547,36,109,,
21,33,1425,528,40,120,,
21,3,466,542,36,108,,
21,1,1773,601,47,144,,
22,48,506,554,34,104,,
22,33,1431,528,39,120,,
22,3,465,538,37,115,,
22,1,1782,596,48,146,,
23,48,501,548,37,115,,
23,33,1433,528,39,120,,
23,3,464,538,38,116,,
23,1,1787,595,50,151,,
24,48,500,551,37,114,,
24,33,1433,528,40,120,,
24,3,464,541,39,121,,
24,1,1795,594,51,154,,
25,48,500,554,36,111,,
25,33,1439,534,39,119,,
25,3,458,548,40,121,,
25,1,1809,598,50,152,,
26,48,503,554,37,115,,
26,33,1442,534,40,122,,
26,3,456,550,40,124,,
26,1,1817,602,51,155,,
27,61,1530,523,28,87,,
27,48,498,554,38,117,,
27,33,1447,541,40,121,,
27,3,455,550,41,126,,
27,1,1824,604,53,159,,
28,61,1533,522,30,91,,
28,48,492,553,40,121,,
28,33,1449,538,39,121,,
28,3,454,550,42,127,,
28,1,1833,603,54,164,,
29,67,1825,591,81,246,,
29,61,1534,526,30,92,,
29,48,489,552,40,122,,
29,33,1455,542,39,120,,
29,3,449,550,41,126,,
29,1,1844,610,55,166,,
30,67,1835,595,77,233,,
30,61,1542,530,29,89,,
30,48,483,557,41,124,,
30,33,1457,544,39,120,,
30,3,447,556,41,126,,
30,1,1856,618,54,164,,
31,33,1458,550,39,119,,
31,3,440,569,42,127,,
31,1,1867,622,54,167,,
32,33,1463,557,39,120,,
32,3,439,568,41,125,,
32,1,1870,631,51,155,,
33,74,1552,501,38,117,,
33,33,1465,550,39,119,,
33,3,439,562,40,125,,
34,75,591,555,24,72,,
34,74,1554,497,38,118,,
34,33,1471,547,39,119,,
34,3,437,560,42,126,,
35,74,1560,496,38,118,,
35,33,1473,545,39,120,,
35,3,433,554,41,125,,
36,77,473,549,42,126,,
36,74,1562,496,38,118,,
36,33,1479,545,39,119,,
36,3,431,552,41,123,,
37,81,1563,436,59,181,,
37,80,1809,621,58,177,,
37,77,472,542,41,126,,
37,74,1568,496,38,118,,
37,33,1481,545,39,119,,
37,3,429,545,41,125,,
38,85,68,588,82,247,,
38,80,1821,621,57,174,,
38,77,471,547,42,126,,
38,74,1571,486,40,122,,
38,33,1484,538,40,122,,
38,3,425,548,41,124,,
39,85,59,592,78,236,,
39,80,1833,630,57,172,,
39,74,1576,487,39,120,,
39,33,1488,542,40,121,,
39,3,423,545,41,123,,
40,85,52,587,82,249,,
40,83,512,523,26,80,,
40,80,1844,632,59,177,,
40,74,1583,487,39,120,,
40,33,1495,538,39,120,,
40,3,423,543,40,123,,
41,85,39,576,88,265,,
41,83,510,522,26,81,,
41,80,1850,629,61,186,,
41,74,1584,483,42,126,,
41,33,1502,542,40,120,,
41,3,423,543,40,122,,
42,83,508,522,29,88,,
42,80,1857,630,61,186,,
42,74,1591,490,40,124,,
42,33,1505,543,39,120,,
42,3,421,548,41,124,,
43,88,1474,423,88,265,,
43,83,504,525,28,85,,
43,74,1593,498,40,123,,
43,33,1510,543,40,122,,
43,3,417,550,40,123,,
44,74,1596,493,41,124,,
44,33,1513,549,39,121,,
44,3,413,550,41,125,,
45,74,1600,491,43,129,,
45,33,1518,550,40,124,,
45,3,414,551,41,123,,
46,74,1606,478,46,139,,
46,33,1520,551,41,124,,
46,3,409,551,41,122,,
47,97,455,549,41,125,,
47,74,1613,491,44,134,,
47,33,1526,556,41,123,,
47,3,408,551,40,122,,
48,100,344,552,39,117,,
48,97,456,558,40,121,,
48,74,1621,497,43,130,,
48,33,1534,559,40,122,,
48,3,406,554,41,127,,
49,103,488,529,31,93,,
49,100,344,554,39,117,,
